brand,name,seller,reviews_rating_number,reviews_amount,old_money,new_money
,"MacBook Air M2 (2022) 13.6"" silver 8GB de Ram - 256GB SSD - Apple M",,4.9,(488),7.315,731
LENOVO,"Ultrabook Lenovo ThinkPad L14 preto 14"", AMD AMD Ryzen 5 PRO 4650U 4650U 8 GB de RAM 256 GB SSD, AMD Radeon Graphics 60 Hz 1366x768px Windows 10 Pro",Por Itotal ,5.0,(5),4.223,3.378
ASUS,"Notebook ASUS Vivobook Go E1504FA AMD Ryzen 5 7520U 8GB Ram 256GB SSD Windows 11 Tela 15,6"" FHD Black - NJ825W",,4.9,(82),2.850,273
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i3-1215U 4GB 256GB SSD Linux 14"" 83AFS00500",Por Lenovo ,4.8,(4604),2.019,194
LENOVO,Lenovo Loq-e I5 Rtx 3050 16gb+controle Xbox+gift Card R$50,Por Mobcom ,,,6.656,5.099
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.656,4.999
DELL,Notebook Dell Xps 9320 Cor Cinza,,,,10.808,1.080
ASUS,"Notebook ASUS Vivobook Go E1504FA AMD Ryzen 5 7520U 8GB Ram 256GB SSD Windows 11 Tela 15,6"" FHD Black - NJ825W",,4.9,(82),2.850,273
LENOVO,"Notebook Lenovo IdeaPad 1i Intel Core i3-1215U 4GB 256GB SSD Linux 14"" 83AFS00500",Por Lenovo ,4.8,(4604),2.019,194
LENOVO,"Notebook Lenovo Ideapad 1i Celeron N4020 128gb 4gb W11 15,6'",Por 123 Comprou ,5.0,(1),3.665,1.979
LENOVO,Chromebook Lenovo 100e Intel Celeron N4500 4gb 32gb,Por Lenovo ,5.0,(7),1.484,143
LENOVO,"Notebook ThinkPad E14 14"" black 16GB de Ram 256GB SSD Intel Core i5 - Excelente (Recondicionado)",Por Micro Livre ,,,2.977,297
LENOVO,Notebook Lenovo LOQ 15IRX9 Intel Core i5-13450HX RTX 3050 8GB 512GB SSD Windows 11 83KH0001BR Luna Grey,Por Lenovo ,5.0,(3),5.644,542
LENOVO,"Notebook Ideapad 1i Intel Core i7 1255U 16GB RAM 512GB SSD Windows 11 Home Tela 14"" HD 83AF000FBR",Por Lenovo ,4.8,(4604),4.039,388
LENOVO,Notebook Lenovo Loq 15irx9 Intel Core i7-13650hx 16gb 512gb Ssd Rtx 4050 Windows 11 15.6 - 83kh0003br Luna Grey,Por Lenovo ,5.0,(1),7.499,720
SAMSUNG,"Notebook Samsung Galaxy Book4 Intel® Core™ i5-1335U (1.3 Ghz, até 4.6GHz, 12 MB L3 Cache), Windows 11 Home, 16GB, 512GB SSD, Iris Xe, 15.6'' Full HD LED, 1.55kg",Por Samsung ,4.9,(1676),4.249,4.036
,"Notebook Positivo Vision C15 Lumina Bar Celeron, 8gb 256gb Emmc, Tela 15 Polegadas Hd Antirreflexo, Linux, Tecla Link, Cinza",,4.7,(167),1.718,171
DELL,Notebook Usado Dell 7490 Core I7 8gb Ssd256gb 14'' Fhd Win11,,,,1.649,1.484
LENOVO,Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,Por 2Eletro ,,,4.110,3.142
,"Apple MacBook Air (13 polegadas, 2020, Chip M1, 256 GB de SSD, 8 GB de RAM) - Prata",,4.9,(1082),5.772,577
LENOVO,"Notebook Lenovo Ideapad 1 Ryzen 5-7520u 8gb 256gb Linux 15,6 Cor Cloudgrey",,4.8,(4604),2.968,296
DELL,Notebook Dell Core I7 8gb Ssd256gb 14'' Fhd Win11 Excelente!,,,,1.849,184
LENOVO,Notebook Ideapad 1i I5 12gb 512gb Linux 15.6  82vys00900,Por Lenovo ,4.9,(60),3.199,2.999
DELL,Notebook Dell Latitude 5480 Core Intel I7 16gb Ram Ssd 256gb,,5.0,(6),1.999,200
ASUS,"Notebook ASUS Vivobook Go E1504GA Intel Core i3 N305 8GB Ram 512GB SSD Windows 11 Tela 15,6"" FHD Silver - NJ435W",Por Fast Shop ,4.9,(554),3.130,313
LENOVO,Notebook Lenovo E14 Core I7 10ger 16gb 240ssd Windows 11,Por SLA Informatica ,,,3.199,319
LENOVO,Notebook Lenovo V14 G4 Intel Core I5 16gb 512gb Ssd W11 14 ,Por Lenovo ,,,3.779,363
LENOVO,Notebook Lenovo Yoga 7x Snapdragon X Elite 32gb 1tb W11,Por Lenovo ,4.0,(1),10.139,974
LENOVO,Notebook Lenovo ThinkBook 14 G6 Intel Core i5-13420H 16GB 512GB SSD Windows 11 - 21NQ000PBR Arctic Grey,Por Lenovo ,,,4.649,446
LENOVO,Notebook Lenovo Lenovo V14 Amd Ryzen 5 8gb 256gb W11,Por Lenovo ,,,2.789,268
DELL,Notebook Dell Latitude 5290 I5 7th 8gb 256gb Windows 10,,,,1.547,154
LENOVO,Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,Por Lenovo ,,,3.174,305
LENOVO,Notebook Lenovo V14 Intel Core I5 8gb 256gb Ssd W11 Pro 14 ,Por Lenovo ,,,3.734,358
ASUS,Notebook Asus Vivobook Intel Core I5 1235u 16gb 512ssd W11,Por Asus ,,,4.199,3.779
,"Bloco Rhodia Edição 90 Anos & Paper People 14,6x20,8cm 80fls",,,,54,5
LENOVO,Notebook Ideapad 1i I3 4gb 256gb Linux 14   Abyss Blue,Por Lenovo ,,,2.299,2.154
LENOVO,Notebook Lenovo V14 Intel Core I5-13420h 16gb 512gb W11 Pro,Por Lenovo ,,,4.139,397
LENOVO,Notebook Core I7(10ª Ger)16gb Ram 256ssd Bluetooth Hdmi Usbc,,,,2.690,269
DELL,Dell Latitude 5450 -i5- 13ª geração// 32 gb// 512 gb Touch Grey,,,,7.800,780
DELL,"Notebook Latitude 3420 14"" preto 8GB de Ram - 256GB SSD - Intel Core i5 - Excelente (Recondicionado)",Por Micro Livre ,,,2.632,263
HP,Notebook Hp 256r G9 Ci3 15.6  Uhd Graphics 256gb Ssd 8gb W11,Por HP ,5.0,(6),3.299,2.699
,Hub Usb-c 3.2 Multi Dispositivos 4 Portas Aluminio Geonav,,4.3,(12),199,33
ASUS,Notebook Asus Zenbook 14 Intel Core Ultra7 16gb 1tb Ssd W11,,4.7,(12),10.317,1.031
SAMSUNG,Notebook Galaxy Book2 intel core i7-1255U 8GB RA SSD 512GB 15.6 Full HD Windows 11 grafite NP550XED-KS2BR,Por Login ,4.8,(550),5.298,4.299
HP,Notebook Hp Elitebook 840 G3 Core I5-6300u 8gb Ssd 240gb,,5.0,(2),1.199,119
ASUS,"Notebook Asus Vivobook Go 15 E1504fa Amd Ryzen 3 7320u 4gb Ram 128gb Ssd Linux Keepos Tela 15,6 Fhd Black - Nj1291",Por Asus ,4.7,(132),2.179,209
,Tapete Office Mouse Pad Dupla Face Tecido sintético impermeável e antiderrapante Toque macio Geonav Preto E Cinza,,4.8,(27),67,33
,"Bloco Rhodia Edição 90 Anos & Paper People 8,3x11,8cm 80 Fls",,,,29,2
,"MacBook Pro A1989 (2019) 13.3"" prata 8GB de Ram - 512GB SSD - Intel Core i5 - Excelente (Recondicionado)",,,,3.999,400
DELL,"Notebook Inspiron 3511 15.6"" preto 8GB de Ram - 256GB SSD - Intel Core i5",,4.6,(14),3.467,346
ASUS,Notebook Asus Zenbook Snapdragon X1 26 100 32gb Ram 1tb W11,Por Asus ,,,9.699,969
ASUS,"Notebook ASUS Vivobook 15 M1502YA AMD Ryzen 7 7730U 16GB Ram 1TB SSD Linux KeepOS 15,6"" FHD Cool Silver NJ493",Por Asus ,5.0,(1),4.899,4.115
LENOVO,"Notebook Lenovo Yoga Slim 7 Aura Edition 14ILL10 Intel Core Ultra 7 258V 32GB 1TB SSD Windows 11 14"" - 83JX002UBR Luna Grey",Por Lenovo ,,,11.399,1.095
DELL,Notebook Dell Latitude 5490 Core I5 8th 16gb Ram 256gb Ssdm,,4.1,(71),2.999,299
DELL,Notebook Dell Latitude 3440 Intel Core I3 13th 8gb 256ssd Cor Cinza,,,,4.148,3.691
LENOVO,Lenovo Loq-e I5 Rtx 3050 16gb+controle Xbox+gift Card R$50,Por Mobcom ,,,6.656,5.099
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.656,4.999
DELL,Notebook Dell Xps 9320 Cor Cinza,,,,10.808,1.080
DELL,Notebook Dell Latitude 3440 Intel Core I3 13th 8gb 256ssd Cor Cinza,,,,4.148,3.691
LENOVO,Notebook Lenovo Thinkpad T14 I7 10210u 32gb 512m2,,,,3.450,345
LENOVO,Notebook Lenovo V14 Amd R5 7520u 8gb 256gb Ssd W11 Pro Preto,Por Lenovo ,,,3.599,3.404
ASUS,"Notebook Gamer Asus Tuf Gaming F15 Fx507vu Rtx4050 Intel Core I7 13620h 16gb Ram 512gb Ssd Windows 11 Home 15,60 Fhd 144hz Ips Cinza - Lp177w",Por Asus ,4.8,(15),8.739,8.039
,Notebook Vaio Fh15 I7-12650h Rtx 3050 64gb 1tb 15.6 Fullhd Cor Cinza-escuro,Por Vaio ,,,9.959,7.199
ACER,Notebook Gam Nitro V Anv15-51-54dl I5 8gb 512gb Ssd Rtx4050,Por Acer Brasil ,4.8,(308),7.299,5.449
SAMSUNG,"Notebook Samsung Galaxy Book4, Windows 11 Home, Intel® Core I7, 16gb, 512gb Ssd, 15.6'' Full Hd Led, 1.55 Kg - Grafite",Por Samsung ,4.8,(317),5.199,4.748
,"MacBook Air M2 (2022) 13.6"" starlight 8GB de Ram - 256GB SSD - Apple M",,4.9,(488),7.099,682
LENOVO,Notebook Lenovo Ideapad 1 R5-7520u 8gb 512gb Ssd Linux 15.6 ,Por Lenovo ,4.8,(18),2.799,2.649
LENOVO,Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Excelente (Recondicionado),,5.0,(11),1.712,171
HP,Notebook 256-g9 I3 8gb 256gb Ssd 15w11 7z3r2la Hp Cx 1 Un Cor Preto,,4.8,(467),2.712,260
DELL,Notebook Dell Inspiron 7472 I7 16gb Ssd M.2 240gb Nvidia Mx,,,,3.099,2.913
,Notebook Positivo Vision R15 Ryzen 7 Linux 8gb 512gb Ssd,Por Positivo ,4.4,(17),3.999,2.942
LENOVO,Ultrabook Lenovo Thinkpad L14 Gen2 I5-1145g7 16gb Nvme256+nf Cor Preto,,3.6,(7),3.449,344
ASUS,"Notebook Asus Vivobook 15 X1504za Intel Core I5 1235u 8gb Ram 256gb Ssd Linux Keepos Tela 15,6 Fhd Blue - Nj982",Por Asus ,4.7,(165),3.099,309
LENOVO,Notebook Lenovo Ideapad 1 Intel Core i3 4gb 256gb Ssd Windows 11,Por Lenovo ,4.8,(8),2.249,216
LENOVO,"Notebook Lenovo Yoga Slim 6i Intel Core i5-1240P Evo 16gb 512gb SSD Windows 11 Home Tela 14"" Cor Storm grey 83C70000BR",,4.8,(177),5.206,500
LENOVO,Notebook Lenovo Ideapad 3i I51135g7 8gb 256gb Ssd Intel Iris® Xe W11 15.6 Fhd 82md0007br,,5.0,(4),2.790,268
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.999,5.199
DELL,"Notebook Dell Latitude 5480 14"" preto 16GB de Ram - 256GB SSD - 16GB HDD - Intel Core i5",,4.0,(45),2.999,299
LENOVO,Notebook Lenovo V14 Intel Core I7 16gb 512gb Ssd W11 Pro 14 ,Por Lenovo ,,,5.399,539
,"Notebook Positivo Vision R15 Lumina Bar Amd Ryzen 5 16gb 512gb, Tela 15 Full Hd Antirreflexo, Linux - Preto",Por Positivo ,4.0,(22),3.899,2.768
LENOVO,Notebook Lenovo V14 G4 Intel Core i5 8gb 256gb Ssd W11 14 83GK000KBR,Por Lenovo ,5.0,(1),3.374,324
,Notebook Multilaser M11w Prime 2 Em 1 - Pc301 - Em Cor Prateado,,,,1.790,179
LENOVO,"Notebook Lenovo Ideapad 1i I7 12gb 512gb Ssd 15,6 Cloud Grey",Por Fast Shop ,4.9,(7),4.254,3.943
LENOVO,Notebook Ideapad 1 R3 8gb 256gb W11 15.6  82x5000abr,Por Lenovo ,4.7,(49),2.699,2.554
,Tapete Office Mouse Pad Dupla Face Tecido sintético impermeável antiderrapante Macio Geonav Preto E Azul,,4.9,(31),39,3
,Notebook Multi Ultra Celeron N4020c 4gb 128gb W11 14'' Cinza,Por 123 Comprou ,4.7,(6),2.531,1.349
LENOVO,Notebook Lenovo Thinkpad I5 16g Ram 500gb Ssd W11 Original,,,,2.134,213
DELL,Notebook Dell G15 Core I5 13450hx 32gb Ssd512 Rtx3050 6gb Nf,,,,6.490,5.841
LENOVO,Notebook Lenovo Ideapad 1 15iau7 82vy000pbr Intel Core I7,Por Carrefour ,5.0,(2),4.599,3.999
HP,Notebook Elitebook Hp 840 I5 6300u 16gb Ssd 256gb Win 11,,4.5,(161),1.849,184
LENOVO,Notebook Lenovo LOQ 15irx9 Intel Core i5-13450HX 16gb 512gb SSD RTX 3050 Windows 11 - 83kh0006br Luna Grey,Por Lenovo ,,,6.144,590
LENOVO,Notebook Lenovo Yoga Slim 7 Intel Core Ultra 7 32gb 1tb W11,Por Lenovo ,,,12.999,12.169
SAMSUNG,"Notebook Samsung Galaxy Book2 Intel Core I5-1235U, 8GB, 256GB, Windows 11 Home, 15,6"", Grafite",Por Movacel ,4.8,(7151),3.399,340
,"Notebook Ultra UB220 15.6"" prata 4GB de Ram - 120GB SSD - Intel Celeron",,4.3,(131),1.626,162
LENOVO,Notebook Ideapad 1 R3 4gb 256gb W11 Home 15.6  82x5000ebr,Por Lenovo ,4.9,(24),2.399,2.269
ASUS,Notebook Gamer Asus Tuf F15 Core I7 16gb 512ssd W11 Rtx 3050 Cor Cinza,Por Login ,4.9,(72),8.499,7.499
LENOVO,Notebook Lenovo Thinkpad E14 I5 10a 16gb Ssd 240gb + Brinde,,4.7,(3),2.398,1.990
LENOVO,"Notebook Lenovo Ideapad 3 R5 8gb 256gb Ssd 15,6'' W11 Cor Prateado",,4.9,(230),120.000,12.245
SAMSUNG,Notebook Samsung Galaxy Book4 Ultra 32gb Intel Core Ultra 7 1tb Ssd Windows 11 Home 16'' Wqxga Amoled Antirreflexo Touchscreen Np960xglxg2br Grafite,Por Fast Shop ,4.7,(53),11.457,1.145
LENOVO,Notebook Gamer Lenovo Loq-e Ci5-12450 Rtx3050 512gb 16gb W11,Por Mobcom ,,,10.000,4.999
,Notebook Positivo Vision C14 Intel® Celeron® Linux 4GB 128GB eMMC 14” HD Lumina BAR – Cinza,,4.6,(3691),1.433,138
LENOVO,Notebook Lenovo Thinkbook 14 Intel Core i5 16gb 256gb Windows 11 PRO,,,,5.399,539
ACER,"Notebook Acer Aspire 5 A515-45-R5AT AMD Ryzen 5 5500U 15.6""AMD Radeon Graphics 256GB SDD 8GB RAM Windows 11",,4.9,(172),3.639,363
LENOVO,Notebook Lenovo T480 Core I5-8ªth 16gb Ssd 240gb Tela Hd Cor Black - Bom (Recondicionado),,5.0,(11),1.749,174
ASUS,Notebook Asus Zenbook 14 Oled Ux3405ma Intel Core Ultra 9 185h Ai 32gb Ram 1tb Ssd Windows 11 Home Tela 14 Blue - Pp809w,Por Asus ,3.7,(6),12.490,1.249
,"Notebook 2 em 1 Multilaser M11W Prime PC302 11.6"" prata 4GB de Ram - 64GB SSD - Intel Pentium",,3.8,(38),1.656,165
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.656,4.999
LENOVO,Lenovo Loq-e I5 Rtx 3050 16gb+controle Xbox+gift Card R$50,Por Mobcom ,,,6.656,5.099
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.999,5.199
ASUS,Notebook Asus Zenbook 14 Oled Ux3405ma Intel Core Ultra 9 185h Ai 32gb Ram 1tb Ssd Windows 11 Home Tela 14 Blue - Pp809w,Por Asus ,3.7,(6),12.490,1.249
,"Notebook 2 em 1 Multilaser M11W Prime PC302 11.6"" prata 4GB de Ram - 64GB SSD - Intel Pentium",,3.8,(38),1.656,165
HP,Notebook Hp Probook 645 G4 Amd Ryzen 3 2300u 8gb256gb Wifi,,5.0,(2),1.459,145
LENOVO,Notebook Lenovo Thinkpad E14 Ryzen 5 5500u 8gb 256gb,,,,2.599,2.469
DELL,Notebook Dell Latitude 7490 Core I7 8gb Ssd256gb Win11 Nfe,,,,2.290,1.786
LENOVO,Notebook Lenovo V14 Intel Core I7 16gb 512gb Ssd W11 Pro 14 ,Por Lenovo ,,,4.859,467
LENOVO,Notebook Lenovo Thinkpad X1 Carbon Intel I7 8650u 16gb 256gb,,5.0,(1),2.815,2.252
ASUS,"Notebook ASUS Vivobook Go 15 E1504GA Intel Core i3 N305 8GB Ram 256GB SSD Windows 11 Home Tela 15,6"" FHD Silver - NJ434W",,4.9,(40),2.652,254
,"Notebook Multi I3-8145u 4gb 240gb Ssd Linux 15,6'' Cinza - Ub491",,4.6,(47),1.745,174
DELL,Notebook Dell Gamer G3 3590 Core I7 32gb Ssd 1tb Gtx 1660 Ti,,,,5.990,599
DELL,Notebook Dell Inspiron 5440 Core 7 150u 16gb 512ssd Mx570a Cor Prateado,,,,6.922,6.160
DELL,Notebook Dell Latitude 3420 Core I7 11th 64gb Ram 1tb Ssd Cor Grafite,,4.8,(24),6.600,660
LENOVO,Notebook Lenovo Thinkpad X1 Carbon I7-8th 16gb 256gb +brinde,,,,2.797,2.181
HP,Notebook Hp Probook L8u43av#8gb - I5 - Ssd 256gb,Por Saldao da informatica ,3.7,(7),1.776,170
LENOVO,Notebook Lenovo Thinkbook 16 Intel Core I5 16gb 512gb W11,Por Lenovo ,,,6.499,649
LENOVO,Notebook Lenovo Thinkpad T480 I7 8a Ger 16gb M2 256gb Brinde,,5.0,(3),2.389,238
LENOVO,Notebook Ideapad 1i I3 4gb 256gb Linux 15.6  82vys00600,Por Lenovo ,4.5,(13),2.399,2.224
,Notebook Positivo Master Dual Core 14' 4gb 480gb Ssd,Por 4Show ,3.8,(4),1.609,160
LENOVO,"Notebook Lenovo X260 Core I5 8 Gb 256 Gb Ssd 12,5 HD W10 Cor Preto - Bom (Recondicionado)",Por GSOLD ELECTRO ,,,1.599,159
LENOVO,Notebook Lenovo ThinkBook 14 G6 Intel Core i7-13700H 16GB 512GB SSD Windows 11 - 21NQ000HBR Arctic Grey,Por Lenovo ,,,6.119,588
LENOVO,Notebook Ideapad 1 R5 8gb 512gb W11 15.6  82x5000gbr,Por Lenovo ,5.0,(2),3.099,2.900
DELL,Notebook Dell 15.6 Fhd I5 8gb 512gb Ssd Rtx 3050,,4.5,(15),5.821,582
LENOVO,Notebook Lenovo Ultrafino Ideapad 3i I3-1215u 8gb 256gb Ssd ,Por Login ,,,3.199,2.849
LENOVO,Lenovo Loq-e I5 Rtx 3050 16gb+controle Xbox+gift Card R$50,Por Mobcom ,,,6.656,5.099
LENOVO,Notebook Lenovo Thinkbook 16 Intel Core I7 16gb 512gb W11pro,Por Lenovo ,,,7.559,726
LENOVO,Notebook Lenovo E14 Intel Core I5 10ger 8gb 240gb Ssd,Por SLA Informatica ,5.0,(3),2.699,269
ASUS,Notebook Asus Zenbook S14 Core Ultra7 258v 32gb 1tb Ssd W11,Por Asus ,3.7,(3),14.999,13.919
LENOVO,Notebook Lenovo Thinkpad T480 I5 8a 16gb Ssd 240gb + Brinde,,4.2,(5),1.798,1.528
DELL,"Notebook Dell Core I7 4,0ghz 16gb Ssd M2 512gb Latitude",Por Canal Eletro ,4.5,(6),3.199,319
HP,Notebook Hp Elitebook 840 G7 Core I5 10ª Ger 16gb Ssd 256gb,,5.0,(2),2.399,239
LENOVO,Notebook Lenovo V14 G4 Intel Core I7 16gb 512gb Ssd W11 14 ,Por Lenovo ,,,4.999,499
LENOVO,Notebook Lenovo V14 G4 Intel Core I5 8gb 256gb Ssd W11 14 ,Por Lenovo ,,,3.749,374
LENOVO,Notebook Lenovo E14 Intel Core I5 10ger 16gb 240ssd Win 11 Cor Black,,5.0,(1),3.756,375
DELL,Notebook Dell Latitude 5280 Core I5 7300u 16gb 256gb Ssd,,,,1.899,1.671
SAMSUNG,"Notebook Samsung Galaxy Book4 360, 16gb, Intel Core I7, 1tb Ssd, Windows 11 Home, 15.6'' Full Hd Amoled, Np750qgk-kg1br",Por Samsung ,4.7,(87),7.999,7.295
,Tapete Grande Office Mouse Pad Preto Caramelo impermeável Dupla Face Geonav,,4.8,(217),49,
,Baita Notebook Emachines Acer Intel Em Oferta!!,,,,699,69
ASUS,"Notebook Gamer ASUS TUF Gaming F15 FX507ZC4 RTX 3050 Intel Core i5 12500H 16Gb Ram 512Gb SSD Linux KeepOS Tela 15,6"" 144Hz Gray - HN232",Por Asus ,4.9,(11),5.799,557
ASUS,"Notebook ASUS TUF Gaming A15 FA506NFR RTX 2050 AMD Ryzen 7 7435HS 16Gb Ram 512Gb SSD Windows 11 Home Tela 144Hz nivel IPS 15,6"" FHD Graphite Black - HN060W",Por Asus ,4.5,(8),5.999,5.319
ASUS,Notebook Asus Vivobook 15 Intel Core I5 1235u 8gb 512ssd Fhd,Por Asus ,4.6,(21),3.399,2.769
ACER,Chromebook Acer Co731c6nn Intel Celeron 4gb Emmc32gb Chros,,4.0,(1),1.519,146
, Rhodia Katakana 162100K 80 folhas  quadriculadas 1 assuntos unidade x 1 14.8cm x 21cm cor laranja,,,,55,5
LENOVO,Notebook Lenovo V14 G4 Intel Core I7 16gb 512gb Ssd W11 14 ,Por Lenovo ,,,4.499,432
,"MacBook Air M2 (2022) 13.6"" space gray 8GB de Ram - 256GB SSD - Apple M",,4.9,(488),7.099,682
ACER,Notebook Gamer Acer Nv 7037 I713ªg 16gb 512ssd Rtx4050 Gutta,Por Acer Brasil ,4.8,(98),6.999,6.199
,"Bloco Rhodia Edição 90 Anos & Paper People 7,2x10,3cm 80 Fls",,,,24,
,"Notebook Vaio Fh15 Intel Core I7 12th 16gb 1tb Ssd Tela 15,6'' Full Hd Antirreflexo, Nvidia Rtx 3050 6gb Shell Efi Cinza Chumbo Vjfh51f11x-b0311h",Por Vaio ,5.0,(3),9.999,6.399
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4,,4.8,(65),3.799,365
LENOVO,Notebook Lenovo LOQ-e 15iax9e Intel Core i5-12450hx 16gb 512gb Ssd Rtx 3050 Windows 11 15.6 - 83me0007br Luna Grey,Por Mobcom ,,,9.510,4.699
LENOVO,Lenovo Loq-e I5 Rtx 3050 16gb+controle Xbox+gift Card R$50,Por Mobcom ,,,6.656,5.099
LENOVO,Lenovo Loq-e I5 Rtx3050 16gb+controle Xbox Pc+gift Card R$50,Por Mobcom ,,,6.999,5.199
,"Notebook Vaio Fh15 Intel Core I7 12th 16gb 1tb Ssd Tela 15,6'' Full Hd Antirreflexo, Nvidia Rtx 3050 6gb Shell Efi Cinza Chumbo Vjfh51f11x-b0311h",Por Vaio ,5.0,(3),9.999,6.399
HP,Notebook Hp 256r G9 Intel Core I5-1335u 15.6 Hd Intel Uhd Graphics 256gb Ssd 8gb Ram Windows 11 Home 64 Sl- Ay6z4la#ak4,,4.8,(65),3.799,365
LENOVO,Notebook Lenovo Thinkbook 16 Intel Core I7 16gb 512gb W11,Por Lenovo ,,,6.139,590
LENOVO,Notebook Lenovo Thinkpad T14 Core I7 11th 32gb Ssd 1tb M.2 Cor Black,,5.0,(1),4.899,489
,"Bloco Rhodia Edição 90 Anos & Paper People 10,3x14,6cm 80fls",,,,34,3
ASUS,"Notebook Asus Vivobook Go E1504GA Intel Core I3 N305 4Gb Ram 256Gb Ssd Linux Keepos Tela 15,6 Fhd Silver - Nj447",,4.6,(396),2.399,239
,"MacBook Pro MacBook Pro 14"" M3 Pro 14"" space black 18GB de Ram - 512GB SSD - Apple M3",,4.8,(76),13.459,1.293
HP,"Note Hp, Elitebook 840 G6, 14'', Core I5, 8gb, Ssd-256gb",Por OTH Produtos ,5.0,(5),1.890,181
DELL,Notebook Dell I5 6ª Geração/ 8gb /ssd  Promoção Com Garantia,,4.0,(2),1.429,138
LENOVO,Notebook Lenovo V14 G4 Intel Core I3 8gb 256gb Ssd W11 14 ,Por Lenovo ,,,3.059,294
LENOVO,Notebook Lenovo Thinkbook 14 Intel Core i5 16gb 512gb W11pro,Por Lenovo ,,,5.219,501
,"Notebook Positivo Vision R15 Lumina Bar, Amd Ryzen 5 8gb 256gb, Tela 15 Polegadas Full Hd Antirreflexo, Windows 11 Home Tecla Copilot - Preto",Por Positivo ,4.7,(87),3.999,2.889
LENOVO,Notebook Lenovo V14 Intel Core I3-1315u 8gb 256gb W11 Pro,Por Lenovo ,,,3.419,328
ASUS,"Notebook Gamer ASUS TUF Gaming F15 FX507ZC4 RTX 3050 Intel Core i5 12500H 8Gb Ram 512Gb SSD Linux KeepOs Tela de 15,60"" 144Hz Mecha Gray - HN100",,4.9,(34),5.490,527
DELL,"Notebook Dell i15-i120K-A20P 12ª Geração Intel Core i5-1235U 8GB DDR4 e SSD de 256GB Tela Full HD de 15,6'' Windows 11 Home",,4.7,(261),3.931,377
ASUS,"Notebook ASUS TUF Gaming F15 FX507VV RTX4060 Intel Core i7 13620H 8Gb Ram 512Gb SSD Linux KeepOS Tela Nível IPS 15,6"" LED 165Hz Mecha Gray - HQ334",Por Asus ,5.0,(4),9.299,7.949
DELL,Notebook Dell Latitude 5490 Core I7 8 Geração 16gb Ssd 240gb,,,,3.899,389
,"Notebook Hq Joy, I5 1035g1 8gb Ssd 256gb 15.6 Windows 11",,5.0,(1),2.999,299
DELL,Notebook Dell Latitude 3420 I5 11th Com 16gb 512gb,,,,3.605,360
,Notebook Netbook Positivo Mobo S7  Laptop- Com Garantia E Nf,,3.5,(67),369,36
DELL,"Notebook Dell Latitude 3540 Core I5 1235u 16gb Y Ssd512 Win 11, cor cinza escuro",,,,5.199,519
,"Bloco Rhodia Edição 90 Anos & Paper People 20,8x31,6cm 80fls",,,,99,9
ASUS,Notebook Asus X515 N4500 16gb Ram Ddr4 512gb Nvme Windows 11,,,,3.299,3.035
LENOVO,Notebook Lenovo Core I5 8gb 256gb Ssd 15.6 Fullhd Win 10 Pro colorido cinza grafite,,5.0,(10),3.799,379
,"Notebook 15,6 Pol Intel N95 Gtx1060 8gb Ssd 256gb Windows 11",Por INTERFY ,,,3.040,292
LENOVO,Notebook Lenovo ThinkBook 14 G6 Intel Core i5-13420H 8GB 256GB SSD Windows 11 - 21NQ000QBR Arctic Grey,Por Lenovo ,,,4.209,404
DELL,"Notebook Dell Inspiron Intel Core I5 1235U 12ª Geração 16GB RAM, 512 SSD, Linux, Tela 15.6 Full Hd I15-I120K-U30P",,4.8,(129),4.256,425
HP,Notebook Hp Elitebook 840 G9 Intel Vpro I5- W11p 256gb,Por HP ,5.0,(1),8.177,4.599
DELL,Notebook Dell Latitude 3490 Core I7 8ger 16gb 512gb Ssd Preto,,3.9,(7),3.999,399
LENOVO,"Notebook Lenovo V15 Intel Core i7-1255u 16gb 512gb SSD Windows 11 Pro 15""",,5.0,(10),8.990,899
,Notebook Intel Quadcore 6gb Ram Ssd 64gb Tela 14.1 Ips Usb 3,,4.2,(46),1.750,168
ACER,Notebook Predator Acer Phn16-71-72w6 Ci7 16gb 512ssd Rtx4060,Por Acer Brasil ,4.7,(33),10.999,8.399
SAMSUNG,Notebook Samsung Galaxy Book4 I3- 1335u 512gb Np754xgj-kg3br,,5.0,(1),4.999,480
